source_id,councilor_name,council_term,session_name,video_title,video_url,meeting_date,topic_guess,crawled_at,raw_hash
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 McJuPART7eI,https://www.youtube.com/embed/McJuPART7eI,,其他,2026-05-21T07:26:08.471650+00:00,b86976508073a2cd316d2c34556f10c234e8a4ac0910f8e4c7e60dadba0d9199
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 6KuNXEidlZ4,https://www.youtube.com/embed/6KuNXEidlZ4,,其他,2026-05-21T07:26:08.471650+00:00,db58de6661e00afb5445992f47bbe0686b35792187f5a4a7d323b501eb4d6461
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 Blnpppongn0,https://www.youtube.com/embed/Blnpppongn0,,其他,2026-05-21T07:26:08.471650+00:00,ece922af52cdd946d54f58e7c8a319fedf549495e92f1bc9f4c261be3ed03d60
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 dOPa4BgVbWg,https://www.youtube.com/embed/dOPa4BgVbWg,,其他,2026-05-21T07:26:08.471650+00:00,52b2eda1735f6e7b4ce8dfb3d52a95bd4822f12e7fa80523bf39218575738b15
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 RZG9HEADT34,https://www.youtube.com/embed/RZG9HEADT34,,其他,2026-05-21T07:26:08.471650+00:00,3252dcd59ef6f51256d8e41385cafd312c2f17660a0220de583abc6af79c3043
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 6l0RFt8pEI0,https://www.youtube.com/embed/6l0RFt8pEI0,,其他,2026-05-21T07:26:08.471650+00:00,5787e282feefb94d73e34068a6ba9f59422cc511188976d8a0c4f42dc274ea62
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 SotKr2UzUr0,https://www.youtube.com/embed/SotKr2UzUr0,,其他,2026-05-21T07:26:08.471650+00:00,b6f013dbc2a9e0c90ea82c1775ecbaf8a614b18d84b41df28abcd3c0bcfc3243
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 RRWF5_OuKEY,https://www.youtube.com/embed/RRWF5_OuKEY,,其他,2026-05-21T07:26:08.471650+00:00,5a5003321c354eca145b354a4007364250cb0eacad107470d81575e86f1e8c2d
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 4o1GWVatxxU,https://www.youtube.com/embed/4o1GWVatxxU,,其他,2026-05-21T07:26:08.471650+00:00,094930403265e0256186a16f42071e6c282768d85309deaba27432c89efbdc13
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 KH5xShUNYsI,https://www.youtube.com/embed/KH5xShUNYsI,,其他,2026-05-21T07:26:08.471650+00:00,4bde370f2d9e5033014f84266a7c3107d7035d9e80c47ef6d4f65da6a9dde6fb
